[466, 226;
 1210, 68;
 1263, 68;
 57, 69;
 79, 69;
 157, 69;
 710, 69;
 730, 69;
 787, 69;
 799, 69;
 1011, 69;
 1051, 69;
 1100, 69;
 1224, 69;
 1247, 69;
 1256, 69;
 118, 70;
 122, 70;
 169, 70;
 182, 70;
 403, 70;
 576, 70;
 738, 70;
 896, 70;
 958, 70;
 1031, 70;
 1055, 70;
 1095, 70;
 1155, 70;
 1186, 70;
 1235, 70;
 1254, 70;
 67, 71;
 100, 71;
 199, 71;
 571, 71;
 680, 71;
 762, 71;
 805, 71;
 836, 71;
 870, 71;
 918, 71;
 925, 71;
 1007, 71;
 1179, 71;
 1196, 71;
 1232, 71;
 113, 72;
 324, 72;
 585, 72;
 735, 72;
 989, 72;
 1055, 72;
 1124, 72;
 1212, 72;
 26, 73;
 74, 73;
 108, 73;
 186, 73;
 239, 73;
 313, 73;
 346, 73;
 399, 73;
 442, 73;
 502, 73;
 782, 73;
 1018, 73;
 1167, 73;
 1200, 73;
 1208, 73;
 59, 74;
 145, 74;
 171, 74;
 294, 74;
 884, 74;
 926, 74;
 974, 74;
 1080, 74;
 1118, 74;
 32, 75;
 94, 75;
 136, 75;
 298, 75;
 591, 75;
 610, 75;
 770, 75;
 889, 75;
 900, 75;
 1021, 75;
 1145, 75;
 1179, 75;
 1230, 75;
 1263, 75;
 10, 76;
 16, 76;
 50, 76;
 75, 76;
 228, 76;
 277, 76;
 387, 76;
 679, 76;
 1066, 76;
 1084, 76;
 1162, 76;
 1252, 76;
 1270, 76;
 5, 77;
 126, 77;
 155, 77;
 178, 77;
 191, 77;
 209, 77;
 268, 77;
 718, 77;
 762, 77;
 942, 77;
 1002, 77;
 1214, 77;
 1222, 77;
 29, 78;
 34, 78;
 57, 78;
 59, 78;
 116, 78;
 302, 78;
 374, 78;
 403, 78;
 701, 78;
 758, 78;
 900, 78;
 904, 78;
 1080, 78;
 1109, 78;
 1117, 78;
 1125, 78;
 1153, 78;
 1168, 78;
 1175, 78;
 1189, 78;
 1228, 78;
 1234, 78;
 47, 79;
 95, 79;
 208, 79;
 252, 79;
 269, 79;
 315, 79;
 357, 79;
 420, 79;
 471, 79;
 735, 79;
 835, 79;
 1009, 79;
 1025, 79;
 1029, 79;
 1076, 79;
 1087, 79;
 1100, 79;
 1185, 79;
 1266, 79;
 123, 80;
 611, 80;
 751, 80;
 756, 80;
 960, 80;
 1224, 80;
 1251, 80;
 65, 81;
 68, 81;
 295, 81;
 354, 81;
 645, 81;
 676, 81;
 888, 81;
 927, 81;
 1178, 81;
 1197, 81;
 1240, 81;
 1269, 81;
 60, 82;
 94, 82;
 145, 82;
 635, 82;
 980, 82;
 984, 82;
 1006, 82;
 1032, 82;
 1086, 82;
 1142, 82;
 1163, 82;
 1165, 82;
 1223, 82;
 1243, 82;
 278, 83;
 392, 83;
 467, 83;
 561, 83;
 623, 83;
 1010, 83;
 1114, 83;
 1127, 83;
 1194, 83;
 1212, 83;
 1249, 83;
 140, 84;
 150, 84;
 328, 84;
 605, 84;
 957, 84;
 1104, 84;
 1110, 84;
 1170, 84;
 1237, 84;
 41, 85;
 72, 85;
 133, 85;
 266, 85;
 645, 85;
 663, 85;
 691, 85;
 959, 85;
 1000, 85;
 1163, 85;
 67, 86;
 82, 86;
 102, 86;
 335, 86;
 678, 86;
 1086, 86;
 1118, 86;
 1178, 86;
 1213, 86;
 1222, 86;
 36, 87;
 180, 87;
 214, 87;
 699, 87;
 925, 87;
 1173, 87;
 1247, 87;
 1250, 87;
 142, 88;
 552, 88;
 687, 88;
 697, 88;
 803, 88;
 805, 88;
 818, 88;
 1002, 88;
 1007, 88;
 1100, 88;
 113, 89;
 279, 89;
 733, 89;
 820, 89;
 832, 89;
 933, 89;
 1000, 89;
 1044, 89;
 1179, 89;
 1193, 89;
 1207, 89;
 1259, 89;
 79, 90;
 655, 90;
 737, 90;
 969, 90;
 981, 90;
 1098, 90;
 1183, 90;
 1223, 90;
 1253, 90;
 30, 91;
 45, 91;
 100, 91;
 194, 91;
 581, 91;
 824, 91;
 951, 91;
 1067, 91;
 1187, 91;
 124, 92;
 143, 92;
 208, 92;
 277, 92;
 460, 92;
 563, 92;
 666, 92;
 731, 92;
 835, 92;
 947, 92;
 973, 92;
 1170, 92;
 1200, 92;
 98, 93;
 140, 93;
 160, 93;
 180, 93;
 392, 93;
 474, 93;
 1128, 93;
 1149, 93;
 1179, 93;
 1192, 93;
 1233, 93;
 1240, 93;
 1244, 93;
 1262, 93;
 82, 94;
 116, 94;
 150, 94;
 176, 94;
 358, 94;
 365, 94;
 701, 94;
 1086, 94;
 1229, 94;
 60, 95;
 123, 95;
 156, 95;
 184, 95;
 195, 95;
 216, 95;
 339, 95;
 394, 95;
 695, 95;
 975, 95;
 1032, 95;
 1080, 95;
 1198, 95;
 1259, 95;
 1276, 95;
 26, 96;
 51, 96;
 112, 96;
 119, 96;
 260, 96;
 401, 96;
 552, 96;
 570, 96;
 676, 96;
 1004, 96;
 1121, 96;
 1130, 96;
 1155, 96;
 1202, 96;
 1266, 96;
 98, 97;
 103, 97;
 716, 97;
 1022, 97;
 1218, 97;
 1234, 97;
 1238, 97;
 19, 98;
 172, 98;
 181, 98;
 189, 98;
 254, 98;
 392, 98;
 445, 98;
 511, 98;
 719, 98;
 962, 98;
 1017, 98;
 1052, 98;
 1182, 98;
 1213, 98;
 1227, 98;
 16, 99;
 84, 99;
 97, 99;
 130, 99;
 195, 99;
 380, 99;
 982, 99;
 1035, 99;
 1188, 99;
 1223, 99;
 1271, 99;
 65, 100;
 186, 100;
 361, 100;
 659, 100;
 689, 100;
 706, 100;
 713, 100;
 1050, 100;
 1112, 100;
 1185, 100;
 32, 101;
 91, 101;
 395, 101;
 456, 101;
 549, 101;
 583, 101;
 611, 101;
 675, 101;
 1122, 101;
 1161, 101;
 1253, 101;
 1274, 101;
 35, 102;
 191, 102;
 389, 102;
 767, 102;
 1081, 102;
 1090, 102;
 1100, 102;
 1107, 102;
 1133, 102;
 1154, 102;
 1168, 102;
 1197, 102;
 1233, 102;
 13, 103;
 22, 103;
 53, 103;
 102, 103;
 147, 103;
 250, 103;
 354, 103;
 690, 103;
 1034, 103;
 1115, 103;
 1117, 103;
 1127, 103;
 1221, 103;
 1259, 103;
 65, 104;
 82, 104;
 133, 104;
 145, 104;
 151, 104;
 167, 104;
 321, 104;
 648, 104;
 679, 104;
 711, 104;
 730, 104;
 970, 104;
 1000, 104;
 1022, 104;
 1048, 104;
 1151, 104;
 1180, 104;
 1250, 104;
 245, 105;
 384, 105;
 508, 105;
 967, 105;
 992, 105;
 1045, 105;
 1093, 105;
 1184, 105;
 1189, 105;
 1208, 105;
 1271, 105;
 36, 106;
 88, 106;
 117, 106;
 192, 106;
 339, 106;
 388, 106;
 555, 106;
 624, 106;
 881, 106;
 1005, 106;
 1061, 106;
 1134, 106;
 1164, 106;
 1221, 106;
 1235, 106;
 60, 107;
 76, 107;
 122, 107;
 139, 107;
 182, 107;
 208, 107;
 571, 107;
 1109, 107;
 1116, 107;
 1196, 107;
 17, 108;
 56, 108;
 114, 108;
 125, 108;
 198, 108;
 204, 108;
 829, 108;
 996, 108;
 1020, 108;
 1024, 108;
 1028, 108;
 1137, 108;
 1154, 108;
 1229, 108;
 39, 109;
 79, 109;
 107, 109;
 413, 109;
 568, 109;
 956, 109;
 1059, 109;
 1215, 109;
 1223, 109;
 1269, 109;
 71, 110;
 96, 110;
 156, 110;
 159, 110;
 193, 110;
 299, 110;
 610, 110;
 692, 110;
 1175, 110;
 1265, 110;
 100, 111;
 248, 111;
 263, 111;
 304, 111;
 661, 111;
 967, 111;
 970, 111;
 1014, 111;
 1040, 111;
 1082, 111;
 1099, 111;
 1132, 111;
 1156, 111;
 1206, 111;
 16, 112;
 36, 112;
 84, 112;
 110, 112;
 254, 112;
 391, 112;
 399, 112;
 407, 112;
 1070, 112;
 1126, 112;
 1154, 112;
 1242, 112;
 1258, 112;
 60, 113;
 66, 113;
 91, 113;
 138, 113;
 224, 113;
 233, 113;
 284, 113;
 1011, 113;
 1053, 113;
 1191, 113;
 1270, 113;
 95, 114;
 102, 114;
 134, 114;
 142, 114;
 222, 114;
 338, 114;
 460, 114;
 754, 114;
 1198, 114;
 1249, 114;
 1276, 114;
 78, 115;
 152, 115;
 969, 115;
 1063, 115;
 1219, 115;
 32, 116;
 53, 116;
 145, 116;
 625, 116;
 1015, 116;
 1236, 116;
 1238, 116;
 1260, 116;
 17, 117;
 42, 117;
 83, 117;
 241, 117;
 342, 117;
 414, 117;
 1002, 117;
 1008, 117;
 1272, 117;
 23, 118;
 76, 118;
 87, 118;
 306, 118;
 331, 118;
 347, 118;
 621, 118;
 966, 118;
 973, 118;
 1060, 118;
 1210, 118;
 1249, 118;
 6, 119;
 50, 119;
 130, 119;
 158, 119;
 719, 119;
 1020, 119;
 1083, 119;
 1086, 119;
 1159, 119;
 1166, 119;
 1185, 119;
 1191, 119;
 1220, 119;
 12, 120;
 136, 120;
 146, 120;
 678, 120;
 1010, 120;
 1027, 120;
 1260, 120;
 27, 121;
 67, 121;
 75, 121;
 109, 121;
 180, 121;
 250, 121;
 636, 121;
 1129, 121;
 54, 122;
 121, 122;
 257, 122;
 292, 122;
 554, 122;
 1039, 122;
 1048, 122;
 1068, 122;
 1195, 122;
 1272, 122;
 89, 123;
 187, 123;
 372, 123;
 640, 123;
 998, 123;
 1036, 123;
 17, 124;
 136, 124;
 406, 124;
 535, 124;
 540, 124;
 644, 124;
 676, 124;
 1105, 124;
 1138, 124;
 1175, 124;
 1258, 124;
 40, 125;
 61, 125;
 67, 125;
 150, 125;
 378, 125;
 732, 125;
 1007, 125;
 1142, 125;
 1177, 125;
 1199, 125;
 1263, 125;
 1275, 125;
 27, 126;
 56, 126;
 328, 126;
 730, 126;
 818, 126;
 1048, 126;
 64, 127;
 109, 127;
 132, 127;
 307, 127;
 552, 127;
 634, 127;
 755, 127;
 830, 127;
 1025, 127;
 1150, 127;
 1158, 127;
 1251, 127;
 1272, 127;
 142, 128;
 167, 128;
 173, 128;
 203, 128;
 242, 128;
 492, 128;
 814, 128;
 989, 128;
 1009, 128;
 1081, 128;
 1261, 128;
 1266, 128;
 8, 129;
 20, 129;
 31, 129;
 54, 129;
 71, 129;
 171, 129;
 197, 129;
 731, 129;
 780, 129;
 802, 129;
 819, 129;
 1068, 129;
 1154, 129;
 1184, 129;
 1235, 129;
 1239, 129;
 11, 130;
 268, 130;
 534, 130;
 583, 130;
 655, 130;
 1019, 130;
 1023, 130;
 1076, 130;
 64, 131;
 109, 131;
 721, 131;
 743, 131;
 752, 131;
 1011, 131;
 5, 132;
 28, 132;
 39, 132;
 175, 132;
 193, 132;
 195, 132;
 333, 132;
 790, 132;
 826, 132;
 1047, 132;
 1154, 132;
 1207, 132;
 1271, 132;
 45, 133;
 136, 133;
 149, 133;
 166, 133;
 370, 133;
 1088, 133;
 1221, 133;
 1234, 133;
 22, 134;
 209, 134;
 782, 134;
 1000, 134;
 1038, 134;
 1174, 134;
 1252, 134;
 1275, 134;
 3, 135;
 25, 135;
 49, 135;
 105, 135;
 588, 135;
 1014, 135;
 1050, 135;
 1154, 135;
 1164, 135;
 1170, 135;
 1209, 135;
 1235, 135;
 9, 136;
 55, 136;
 112, 136;
 126, 136;
 175, 136;
 263, 136;
 416, 136;
 1008, 136;
 1060, 136;
 1213, 136;
 132, 137;
 295, 137;
 421, 137;
 568, 137;
 1026, 137;
 1223, 137;
 1246, 137;
 22, 138;
 82, 138;
 772, 138;
 1004, 138;
 135, 139;
 427, 139;
 490, 139;
 725, 139;
 1000, 139;
 1067, 139;
 1090, 139;
 1110, 139;
 1118, 139;
 1232, 139;
 6, 140;
 11, 140;
 34, 140;
 128, 140;
 138, 140;
 145, 140;
 167, 140;
 329, 140;
 653, 140;
 812, 140;
 1121, 140;
 1128, 140;
 1134, 140;
 1140, 140;
 1220, 140;
 1266, 140;
 79, 141;
 152, 141;
 265, 141;
 310, 141;
 767, 141;
 1106, 141;
 1183, 141;
 1222, 141;
 1275, 141;
 17, 142;
 22, 142;
 31, 142;
 43, 142;
 88, 142;
 95, 142;
 636, 142;
 733, 142;
 801, 142;
 849, 142;
 1191, 142;
 56, 143;
 71, 143;
 143, 143;
 149, 143;
 328, 143;
 647, 143;
 871, 143;
